article	property	value
https://pt.wikipedia.org/wiki/Predefini%C3%A7%C3%A3o:Controle_de_autoridade	http://schema.org/isPartOf	https://pt.wikipedia.org/
https://pt.wikisource.org/wiki/Predefini%C3%A7%C3%A3o:Controle_de_autoridade	http://schema.org/about	http://www.wikidata.org/entity/Q3907614
https://pt.wikisource.org/wiki/Predefini%C3%A7%C3%A3o:Controle_de_autoridade	http://schema.org/inLanguage	pt
https://pt.wikisource.org/wiki/Predefini%C3%A7%C3%A3o:Controle_de_autoridade	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://schema.org/Article
https://pt.wikisource.org/wiki/Predefini%C3%A7%C3%A3o:Controle_de_autoridade	http://schema.org/name	Predefinição:Controle de autoridade
https://pt.wikisource.org/wiki/Predefini%C3%A7%C3%A3o:Controle_de_autoridade	http://schema.org/isPartOf	https://pt.wikisource.org/
https://ro.wikipedia.org/wiki/Format:Informa%C8%9Bii_bibliotecare	http://schema.org/about	http://www.wikidata.org/entity/Q3907614
https://ro.wikipedia.org/wiki/Format:Informa%C8%9Bii_bibliotecare	http://schema.org/inLanguage	ro
https://ro.wikipedia.org/wiki/Format:Informa%C8%9Bii_bibliotecare	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://schema.org/Article
https://ro.wikipedia.org/wiki/Format:Informa%C8%9Bii_bibliotecare	http://schema.org/name	Format:Informații bibliotecare
https://ro.wikipedia.org/wiki/Format:Informa%C8%9Bii_bibliotecare	http://schema.org/isPartOf	https://ro.wikipedia.org/
https://roa-tara.wikipedia.org/wiki/Template:Controllo_di_autorit%C3%A0	http://schema.org/about	http://www.wikidata.org/entity/Q3907614
https://roa-tara.wikipedia.org/wiki/Template:Controllo_di_autorit%C3%A0	http://schema.org/inLanguage	it-x-tara
https://roa-tara.wikipedia.org/wiki/Template:Controllo_di_autorit%C3%A0	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://schema.org/Article
https://roa-tara.wikipedia.org/wiki/Template:Controllo_di_autorit%C3%A0	http://schema.org/name	Template:Controllo di autorità
https://roa-tara.wikipedia.org/wiki/Template:Controllo_di_autorit%C3%A0	http://schema.org/isPartOf	https://roa-tara.wikipedia.org/
https://ru.wikipedia.org/wiki/%D0%A8%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD:%D0%92%D0%BD%D0%B5%D1%88%D0%BD%D0%B8%D0%B5_%D1%81%D1%81%D1%8B%D0%BB%D0%BA%D0%B8	http://schema.org/about	http://www.wikidata.org/entity/Q3907614
https://ru.wikipedia.org/wiki/%D0%A8%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD:%D0%92%D0%BD%D0%B5%D1%88%D0%BD%D0%B8%D0%B5_%D1%81%D1%81%D1%8B%D0%BB%D0%BA%D0%B8	http://schema.org/inLanguage	ru
https://ru.wikipedia.org/wiki/%D0%A8%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD:%D0%92%D0%BD%D0%B5%D1%88%D0%BD%D0%B8%D0%B5_%D1%81%D1%81%D1%8B%D0%BB%D0%BA%D0%B8	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://schema.org/Article
https://ru.wikipedia.org/wiki/%D0%A8%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD:%D0%92%D0%BD%D0%B5%D1%88%D0%BD%D0%B8%D0%B5_%D1%81%D1%81%D1%8B%D0%BB%D0%BA%D0%B8	http://schema.org/name	Шаблон:Внешние ссылки
https://ru.wikipedia.org/wiki/%D0%A8%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD:%D0%92%D0%BD%D0%B5%D1%88%D0%BD%D0%B8%D0%B5_%D1%81%D1%81%D1%8B%D0%BB%D0%BA%D0%B8	http://schema.org/isPartOf	https://ru.wikipedia.org/
https://ru.wikisource.org/wiki/%D0%A8%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD:%D0%92%D0%BD%D0%B5%D1%88%D0%BD%D0%B8%D0%B5_%D1%81%D1%81%D1%8B%D0%BB%D0%BA%D0%B8	http://schema.org/about	http://www.wikidata.org/entity/Q3907614
https://ru.wikisource.org/wiki/%D0%A8%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD:%D0%92%D0%BD%D0%B5%D1%88%D0%BD%D0%B8%D0%B5_%D1%81%D1%81%D1%8B%D0%BB%D0%BA%D0%B8	http://schema.org/inLanguage	ru
https://ru.wikisource.org/wiki/%D0%A8%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD:%D0%92%D0%BD%D0%B5%D1%88%D0%BD%D0%B8%D0%B5_%D1%81%D1%81%D1%8B%D0%BB%D0%BA%D0%B8	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://schema.org/Article
https://ru.wikisource.org/wiki/%D0%A8%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD:%D0%92%D0%BD%D0%B5%D1%88%D0%BD%D0%B8%D0%B5_%D1%81%D1%81%D1%8B%D0%BB%D0%BA%D0%B8	http://schema.org/name	Шаблон:Внешние ссылки
https://ru.wikisource.org/wiki/%D0%A8%D0%B0%D0%B1%D0%BB%D0%BE%D0%BD:%D0%92%D0%BD%D0%B5%D1%88%D0%BD%D0%B8%D0%B5_%D1%81%D1%81%D1%8B%D0%BB%D0%BA%D0%B8	http://schema.org/isPartOf	https://ru.wikisource.org/
